Transect,Code,Elevation,Length,Abundance,Diversity (H’),Richness,Mean number of individuals,Total number of individuals
Altas cumbres,AC,3126 (3081-3170),3209,0.47 ± 0.03,1.02 ± 0.17,16,82.12 ± 10.04,657
Barranco de San Juan,BSJ,1362 (1347-1377),453,5.52 ± 0.63,2.92 ± 0.05,73,236.5 ± 38.17,1892
Borreguiles San Juan,BOSJ,2545 (2527-2563),2533,2.38 ± 0.27,2.49 ± 0.04,45,378.38 ± 45.91,3027
Campos de Otero,CO,2248 (2178-2317),2992,4.06 ± 0.48,2.67 ± 0.04,70,986.12 ± 157.42,7889
Carihuela,CAR,2808 (2792-2824),387,0.56 ± 0.1,1.02 ± 0.14,9,9 ± 1.35,72
Catifas,CAT,1666 (1658-1673),483,4.18 ± 0.27,2.75 ± 0.07,63,190.62 ± 22.05,1525
Cauchiles,CAU,3203 (3196-3210),624,1.08 ± 0.37,1.41 ± 0.19,18,28.12 ± 5.59,225
Dúrcal,DU,1950 (1913-1987),3563,9.41 ± 0.99,3.05 ± 0.04,64,3038.86 ± 331.97,21272
Fabriquilla,FA,992 (971-1013),415,2.47 ± 0.25,2.43 ± 0.06,56,88.5 ± 18.88,708
Laguna Seca,LS,2282 (2257-2306),3044,3.15 ± 0.46,1.85 ± 0.1,38,754.5 ± 119,6036
Laguna,LP,732 (726-739),500,3.95 ± 0.35,0.96 ± 0.13,24,193.14 ± 22.83,1352
Matas Verdes,MV,1919 (1851-1987),2672,5.23 ± 0.61,2.87 ± 0.12,78,1277.25 ± 168.91,10218
Loma de Papeles Alto,PA,2400 (2338-2463),3068,2.49 ± 0.34,2.23 ± 0.07,46,592.75 ± 103.02,4742
Loma de Papeles Bajo,PB,2121 (2052-2190),2743,1.95 ± 0.15,2.58 ± 0.05,56,448 ± 49.25,3584
Pitres,PI,1379 (1283-1475),2671,4.51 ± 0.35,2.85 ± 0.04,64,979.14 ± 84.37,6854
Praillos,PRA,1894 (1887-1900),366,4.61 ± 0.45,2.94 ± 0.09,73,156 ± 23.14,1248
Purche,PU,1442 (1387-1496),2758,5.67 ± 0.77,2.83 ± 0.06,78,1303.88 ± 235.67,10431
Robledal de Dilar,DI,1720 (1673-1767),2725,5.78 ± 0.52,2.93 ± 0.13,82,1402.38 ± 150.25,11219
Sabinas,SA,2180 (2177-2184),289,3.28 ± 0.51,2.42 ± 0.06,50,76 ± 11.82,608
Turbera,TU,745 (723-767),2754,1.4 ± 0.31,1.7 ± 0.09,45,364.14 ± 67.13,2549
